t,range_m,alt_m,speed,mach,fuel,g_avail,g_achieved,drag_para,drag_induced,thrust,cross_x,phase,label
0.008333333333333333,90000.0,0.25038221501793984,30.04586580215278,0.08829254193063012,780.0,0.02650715486865723,0.0,58.487937815861414,0.0,0.0,0.0,0,IGNITION
0.09999999999999999,90000.0,3.029811597233822,30.550357071163628,0.08977789571140485,780.0,0.027395815938159963,0.0,60.44876513324019,0.0,0.0,0.0,0,IGNITION
0.19999999999999998,90000.0,6.11465502171204,31.100642325497184,0.09139824247285984,780.0,0.02838133111080931,0.0,62.62330066600907,0.0,0.0,0.0,0,IGNITION
0.3000000000000001,90000.0,9.254523025011595,31.650854531406416,0.09301854780001956,780.0,0.029383565685209424,0.0,64.83472749604327,0.0,0.0,0.0,0,IGNITION
0.4000000000000004,90000.0,12.44940823573891,32.20099246079323,0.09463881113679957,780.0,0.030402471708443943,0.0,67.08293981541264,0.0,0.0,0.0,7,RIDE-OUT
0.5000000000000007,90000.0,15.69930315988257,32.751054889112424,0.09625903193663532,780.0,0.03143800045825167,0.0,69.3678301186306,0.0,0.0,0.0,7,RIDE-OUT
0.6000000000000003,90000.0,19.00420018117169,33.30104059542814,0.09787920966263519,780.0,0.03249010244675745,0.0,71.68928921088614,0.0,0.0,0.0,7,RIDE-OUT
0.7,90000.0,22.364091561439878,33.85094836247007,0.09949934378773341,780.0,0.033558727424257695,0.0,74.04720621639676,0.0,0.0,0.0,7,RIDE-OUT
0.7999999999999996,90000.0,25.778969440994832,34.400776976689315,0.1011194337948419,780.0,0.034643824383060066,0.0,76.44146858688059,0.0,0.0,0.0,7,RIDE-OUT
0.8999999999999992,90000.0,29.248825838993493,34.95052522831402,0.1027394791770016,780.0,0.03574534156137713,0.0,78.87196211014778,0.0,0.0,0.0,7,RIDE-OUT
0.9999999999999989,90000.0,32.773652653822744,35.50019191140476,0.1043594794375334,780.0,0.036863226447273204,0.0,81.33857091880914,0.0,0.0,0.0,7,RIDE-OUT
1.0999999999999985,90000.0,36.353441663485626,36.04977582390951,0.10597943409018792,780.0,0.03799742578266384,0.0,83.84117749910106,0.0,0.0,0.0,7,RIDE-OUT
1.1999999999999982,90000.0,39.988184525993084,36.59927576771838,0.10759934265929477,780.0,0.03914788556736766,0.0,86.37966269982586,0.0,0.0,0.0,7,RIDE-OUT
1.2999999999999978,90000.0,43.6778727797611,37.14869054871815,0.10921920467991156,780.0,0.04031455106321018,0.0,88.95390574140677,0.0,0.0,0.0,7,RIDE-OUT
1.3999999999999975,90000.0,47.4224978440133,37.6980189768463,0.11083901969797141,780.0,0.04149736679817853,0.0,91.56378422505544,0.0,0.0,0.0,7,RIDE-OUT
1.4999999999999971,90000.0,51.22205101918894,38.247259866144915,0.11245878727043047,780.0,0.04269627657062713,0.0,94.20917414205161,0.0,0.0,0.0,7,RIDE-OUT
1.5999999999999968,90000.0,55.076523487356276,38.79641203481418,0.1140785069654143,780.0,0.0439112234535336,0.0,96.88994988313392,0.0,0.0,0.0,7,RIDE-OUT
1.6999999999999964,90000.0,58.98590631263126,39.3454743052656,0.11569817836236365,780.0,0.045142149798804224,0.0,99.60598424799976,0.0,0.0,0.0,7,RIDE-OUT
1.799999999999996,90000.0,62.950190441601535,39.894445504174854,0.11731780105217957,780.0,0.04638899724162875,0.0,102.35714845491418,0.0,0.0,0.0,7,RIDE-OUT
1.8999999999999957,90000.0,66.96936670375571,40.44332446253439,0.11893737463736759,780.0,0.0476517067048836,0.0,105.1433121504255,0.0,0.0,0.0,7,RIDE-OUT
1.9999999999999953,90000.0,71.04342581191787,40.992110015705684,0.12055689873218144,780.0,0.04893021840358338,0.0,107.9643434191877,0.0,0.0,0.0,7,RIDE-OUT
2.099999999999995,89999.97716097865,75.17225395110914,41.540825837499554,0.12217644585623588,780.0,0.05022453251698732,0.0,110.82024265673557,0.0,0.0,0.0,8,PITCH-OVER
2.199999999999995,89999.83527755948,79.35336932020914,42.09005406787463,0.12379772776503897,780.0,0.051536033576339756,0.0,113.71406482606776,0.0,0.0,0.0,8,PITCH-OVER
2.2999999999999945,89999.46073602563,83.5748675624928,42.642569553806645,0.1254288924354819,780.0,0.052871674500225,0.0,116.66115151596708,0.0,0.0,0.0,8,PITCH-OVER
2.399999999999994,89998.73764063598,87.80657767369426,43.20531942772121,0.12709033488225308,780.0,0.05424935263874233,0.0,119.70099316231253,0.0,0.0,0.0,8,PITCH-OVER
2.499999999999994,89997.55291329042,91.99159353493398,43.791220862492246,0.12881997427526248,780.0,0.05570323254677471,0.0,122.90897372733632,0.0,0.0,0.0,8,PITCH-OVER
2.5999999999999934,89995.84698312188,96.05813717687396,44.41628450285434,0.130664810561896,780.0,0.05727735718916434,0.0,126.38227384780166,0.0,0.0,0.0,8,PITCH-OVER
2.699999999999993,89993.62577221797,99.94306492837441,45.09417060094527,0.13266494408261512,780.0,0.059012067602396245,0.0,130.20990586943378,0.0,0.0,0.0,8,PITCH-OVER
2.7999999999999927,89990.90501531011,103.58533988813785,45.83755508041714,0.13485758221430727,780.0,0.06094762930274138,0.0,134.48071550288896,0.0,0.0,0.0,8,PITCH-OVER
2.8999999999999924,89987.70640002064,106.92545292606522,46.65813246629469,0.13727704456639575,780.0,0.06312450322305009,0.0,139.28397964477293,0.0,0.0,0.0,8,PITCH-OVER
2.999999999999992,89984.05748668477,109.90575394132198,47.56641495068795,0.13995416940305405,780.0,0.06558308414667488,0.0,144.70882923307258,0.0,0.0,0.0,8,PITCH-OVER
3.0999999999999917,89980.00380338581,112.490608922722,48.567506325260865,0.14290390884920368,780.0,0.06835189152836153,0.0,150.8181923377365,0.0,0.0,0.0,8,PITCH-OVER
3.1999999999999913,89975.61247974916,114.69417497111449,49.65574250265073,0.14610960444533017,780.0,0.07143076468522819,0.0,157.6117144125884,0.0,0.0,0.0,8,PITCH-OVER
3.299999999999991,89970.94117405429,116.55101231873515,50.8212975214633,0.14954237982044824,780.0,0.07480712501378299,0.0,165.06164081619335,0.0,0.0,0.0,8,PITCH-OVER
3.3999999999999906,89966.03508963468,118.10880958174728,52.05205550088994,0.1531666405708882,780.0,0.07845988037885228,0.0,173.1214318313861,0.0,0.0,0.0,8,PITCH-OVER
3.4999999999999902,89960.92842580764,119.42603892144972,53.33439811939156,0.1569423915698835,780.0,0.0823605746866079,0.0,181.72829919384523,0.0,0.0,0.0,8,PITCH-OVER
3.59999999999999,89955.48534307872,120.60386422677948,59.59235324061352,0.17535949005559429,780.0,0.10280765744356155,0.0,226.84471062050312,0.0,0.0,0.0,1,BOOST
3.6999999999999895,89949.1121804587,121.8309278652054,69.39794295609724,0.20421679297518408,780.0,0.13940388995131484,0.0,307.59416041298886,0.0,0.0,0.0,1,BOOST
3.799999999999989,89941.76626363718,123.19319406582925,79.20742413817565,0.2330867218908478,780.0,0.18156990844336945,0.0,400.633322093138,0.0,0.0,0.0,1,BOOST
3.899999999999989,89933.45584646026,124.73343884838019,89.01372229540259,0.261948721652459,780.0,0.22927004842679188,0.0,505.8835020910346,0.0,0.0,0.0,1,BOOST
3.9999999999999885,89924.1814136686,126.45235336426798,98.81632595093858,0.2908014658149382,780.0,0.2824899343912724,0.0,623.3129808970886,0.0,0.0,0.0,1,BOOST
4.099999999999993,89913.94335012994,128.34986628247393,108.61482964236922,0.31964393782960654,780.0,0.34121402432877246,0.0,752.8874651288452,0.0,0.0,0.0,1,BOOST
4.199999999999998,89902.74208051649,130.42589889465114,118.40882910409086,0.34847512433527145,780.0,0.40542518507531106,0.0,894.5691505242297,0.0,0.0,0.0,1,BOOST
4.300000000000003,89890.57806918111,132.6803651380875,128.19792138400024,0.3772940154692155,780.0,0.47510470255314036,0.0,1048.3167445408694,0.0,0.0,0.0,1,BOOST
4.400000000000008,89877.4518200219,135.11317162078757,137.98170495939948,0.40609960517611443,780.0,0.5502322929404939,0.0,1214.0854910021012,0.0,0.0,0.0,1,BOOST
4.500000000000013,89863.36387633558,137.72421764865868,147.75977985204923,0.4348908915147081,780.0,0.6307861147573101,0.0,1391.8271967640742,0.0,0.0,0.0,1,BOOST
4.600000000000018,89848.3148206595,140.51339525478437,157.5317477423009,0.4636668769620407,780.0,0.7167427818543767,0.0,1581.49026037625,0.0,0.0,0.0,1,BOOST
4.700000000000023,89832.30527460255,143.48058923076832,167.29721208224504,0.49242656871510526,780.0,0.8080773772924918,0.0,1783.0197027057181,0.0,0.0,0.0,1,BOOST
4.800000000000028,89815.33589866494,146.62567716012978,177.05577820780877,0.5211689789897141,780.0,0.9047634680973021,0.0,1996.3571994936915,0.0,0.0,0.0,1,BOOST
